open,high,low,close,volume
237.699997,238.300003,224.009995,224.910004,88613800
220.850006,225.770004,216.149994,220.179993,94729700
224.199997,233.369995,222.210007,232.000000,86563300
228.270004,235.000000,226.699997,228.070007,49310400
228.460007,230.419998,218.770004,219.550003,46156900
219.309998,221.000000,214.779999,217.699997,38184000
220.470001,221.149994,215.059998,221.000000,42685500
212.410004,217.460007,212.360001,216.539993,45817500
214.020004,217.500000,207.160004,207.710007,38747500
209.389999,210.750000,205.179993,206.160004,37128400
202.339996,207.479996,200.059998,202.080002,39852400
204.160004,206.940002,198.050003,198.449997,44481400
191.059998,208.350006,190.220001,207.600006,49957200
204.940002,211.320007,203.179993,210.479996,37627600
207.679993,213.149994,206.830002,211.029999,34239800
209.869995,211.750000,202.220001,203.490005,27094900
204.779999,209.149994,202.020004,208.110001,29452100
209.020004,209.080002,201.419998,202.970001,27263500
202.369995,205.889999,198.789993,200.059998,32130900
200.789993,200.889999,187.279999,187.470001,38560600
187.850006,196.699997,186.110001,190.289993,37508100
195.740005,199.100006,193.919998,198.500000,31894700
194.839996,196.279999,191.070007,195.210007,24853000
192.639999,193.559998,186.669998,187.610001,34694500
187.029999,192.289993,185.820007,186.630005,31010500
190.800003,192.279999,185.910004,192.029999,31721700
194.699997,203.729996,194.520004,203.630005,40640300
201.699997,208.039993,201.110001,207.839996,29499700
206.699997,216.800003,206.000000,216.490005,52128000
214.500000,214.710007,207.630005,211.490005,30142300
211.369995,219.460007,210.179993,216.649994,31998800
213.330002,216.800003,212.160004,213.460007,23717300
215.000000,220.669998,214.789993,219.570007,31502300
220.509995,225.500000,218.889999,221.820007,40039000
222.130005,224.039993,219.539993,223.589996,26224100
226.070007,230.889999,225.289993,229.860001,31417900
228.910004,231.149994,226.710007,227.850006,25588000
228.449997,228.490005,222.259995,222.360001,24192300
224.550003,227.279999,222.699997,224.850006,19544800
225.979996,234.350006,225.860001,233.889999,28054800
234.080002,236.860001,231.020004,231.839996,29727200
226.910004,228.990005,221.410004,223.300003,28995100
223.929993,225.520004,218.559998,222.949997,21037200
222.380005,225.130005,220.029999,222.330002,18375700
218.419998,220.610001,215.220001,216.460007,20516600
220.240005,222.029999,213.130005,214.139999,20128800
211.820007,216.610001,211.330002,214.990005,19231800
214.889999,214.990005,210.000000,210.179993,18379500
210.000000,213.380005,208.300003,210.770004,16580800
210.520004,218.429993,209.000000,217.309998,20089900
213.610001,214.160004,198.919998,200.419998,43036500
201.600006,202.970001,185.580002,188.070007,49954100
190.369995,192.720001,183.270004,184.110001,36426800
182.729996,187.179993,181.660004,186.990005,29281100
186.630005,187.190002,179.500000,180.949997,31747400
174.429993,181.210007,169.000000,174.949997,71062900
202.919998,208.529999,192.899994,205.729996,100890600
204.460007,212.479996,199.899994,200.470001,49137200
201.169998,211.880005,200.990005,211.130005,49915300
210.449997,214.899994,208.089996,212.029999,41556300
210.649994,224.300003,206.960007,223.410004,41375900
218.740005,220.169998,206.160004,208.279999,41129200
207.339996,209.380005,201.020004,203.770004,34733600
199.839996,202.570007,195.580002,196.210007,36303200
199.509995,202.960007,194.190002,197.649994,34452500
196.330002,200.669998,188.270004,188.740005,31153400
187.059998,198.050003,184.779999,191.240005,38262200
192.580002,199.889999,191.279999,198.619995,24523500
197.050003,205.369995,195.929993,200.039993,27112600
202.119995,205.460007,198.360001,202.619995,24872700
200.000000,201.000000,191.630005,192.240005,23960000
191.199997,195.289993,189.600006,191.289993,24446900
194.970001,197.910004,187.869995,193.539993,31437700
195.190002,196.990005,191.240005,196.229996,23538500
180.550003,183.675903,176.110001,180.669403,39792613
